theta3: 0.000000, omega3: -0.032967

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -0.076923

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 0.010990

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -0.010990

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -0.010990

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -0.010990

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 0.010990

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -0.010990

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -0.010990

theta1: -0.071145, omega1: 0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 0.010990

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -0.032967

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 0.010990

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -0.010990

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -0.010990

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -0.010990

theta1: -0.071145, omega1: -0.032967
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 0.010990

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -0.010990

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -0.010990

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -0.010990

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -0.010990

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -0.010990

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -0.010990

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -0.010990

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -0.032967

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -0.010990

theta1: -0.071145, omega1: 0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -0.010990

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -0.384617

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -0.736263

theta1: -0.071145, omega1: 0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -1.065933

theta1: -0.071145, omega1: 0.142857
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -1.395603

theta1: -0.070764, omega1: 0.120880
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -1.659340

theta1: -0.070764, omega1: 0.142857
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -1.901100

theta1: -0.070382, omega1: 0.120880
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -2.120880

theta1: -0.070382, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -2.406593

theta1: -0.070382, omega1: -0.032967
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -2.604397

theta1: -0.070382, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -2.714287

theta1: -0.070382, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -2.956043

theta1: -0.070382, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -2.978024

theta1: -0.070382, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -3.109890

theta1: -0.070382, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -3.175823

theta1: -0.070382, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -3.263737

theta1: -0.070382, omega1: -0.054947
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -3.197804

theta1: -0.070764, omega1: -0.098900
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -3.197804

theta1: -0.070764, omega1: -0.142857
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -3.197804

theta1: -0.071145, omega1: -0.120880
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -3.175823

theta1: -0.071145, omega1: -0.098900
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -3.153847

theta1: -0.071145, omega1: -0.054947
theta2: 0.000000, omega2: 0.000000
